City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
300,Comodoro Rivadavia,AR,10/19/22 21:38,-45.8667,-67.5,73.26,28,0,32.21
301,Bonnyville,CA,10/19/22 21:36,54.2668,-110.735,70.92,20,91,11.45
302,Menongue,AO,10/19/22 21:38,-14.6585,17.691,66.34,57,52,2.21
303,Bandarbeyla,SO,10/19/22 21:38,9.4942,50.8122,78.48,85,92,12.01
304,Timra,SE,10/19/22 21:38,62.487,17.3257,43.68,75,100,8.05
305,Rio Brilhante,BR,10/19/22 21:38,-21.8019,-54.5464,77.63,76,12,4.18
306,Manicore,BR,10/19/22 21:38,-5.8092,-61.3003,85.95,70,40,13.8
307,Bhinga,IN,10/19/22 21:38,27.7167,81.9333,67.87,77,0,3.22
308,Poco Das Trincheiras,BR,10/19/22 21:38,-9.3125,-37.2856,73.83,70,46,13.04
309,Nishihara,JP,10/19/22 21:38,26.1842,127.7558,74.48,70,75,21.85
310,Shaoyang,CN,10/19/22 21:38,27.2315,111.4525,55.51,33,42,1.9
311,Ban Dung,TH,10/19/22 21:38,17.699,103.2596,70,99,66,4.34
312,Labuhan,ID,10/19/22 21:38,-6.8844,112.2051,78.17,87,99,5.1
313,Pietarsaari,FI,10/19/22 21:38,63.65,22.6833,45.9,80,100,12.44
314,Lexington,US,10/19/22 21:37,37.9887,-84.4777,55.4,32,0,10.36
