City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Belyy Yar,RU,53.6039,91.3903,33.69,90,0,4.47,clear sky
172,Ajdabiya,LY,30.7554,20.2263,70.59,60,100,8.5,overcast clouds
173,Otavi,NA,-19.65,17.3333,72.32,39,55,11.34,broken clouds
174,Caravelas,BR,-17.7125,-39.2481,73.8,78,29,7.61,scattered clouds
175,Oktyabrskiy,RU,54.4815,53.471,42.85,90,100,2.82,overcast clouds
176,Yining,CN,29.0361,114.5636,51.39,51,77,1.57,broken clouds
177,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,76,75,6.91,broken clouds
178,Shache,CN,38.4167,77.2406,48.7,36,100,7.9,overcast clouds
179,Dubovskoye,RU,47.4092,42.7575,51.17,58,64,5.79,broken clouds
180,Forestville,US,38.8451,-76.875,52.3,57,0,8.05,clear sky
181,Mineros,BO,-17.1167,-63.2333,80.29,66,51,5.7,broken clouds
182,Darnah,LY,32.767,22.6367,68.18,74,18,7.92,few clouds
183,Ipu,BR,-4.3222,-40.7108,86.58,41,100,1.48,overcast clouds
184,Nova Londrina,BR,-22.7658,-52.985,76.6,72,7,1.34,clear sky
185,Jiwani,PK,25.05,61.7417,82.26,54,96,6.04,overcast clouds
186,Yar-Sale,RU,66.8333,70.8333,35.55,92,99,15.9,overcast clouds
187,Port Hawkesbury,CA,45.6169,-61.3485,62.58,100,100,13.8,mist
188,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,100,28.77,overcast clouds
189,Raudeberg,NO,61.9875,5.1352,40.96,63,97,3.49,overcast clouds
190,Vestmannaeyjar,IS,63.4427,-20.2734,44.31,75,100,6.24,overcast clouds
191,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,9.22,clear sky
192,Greystones,IE,53.1408,-6.0631,56.26,97,100,19.13,overcast clouds
193,Klaksvik,FO,62.2266,-6.589,41.92,70,49,9.53,scattered clouds
194,Talcahuano,CL,-36.7167,-73.1167,53.28,94,100,4.61,overcast clouds
195,Lukovetskiy,RU,64.2956,41.9211,35.13,87,100,11.23,overcast clouds
196,Sept-Iles,CA,50.2001,-66.3821,50.52,99,100,19.57,light intensity drizzle
197,Dudinka,RU,69.4058,86.1778,34.63,98,100,19.37,light snow
198,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,76.46,93,87,2.3,overcast clouds
199,Narsaq,GL,60.9167,-46.05,37.62,64,16,16.44,few clouds
200,Colesberg,ZA,-30.72,25.0972,69.82,46,69,4.72,broken clouds
201,Russkaya Polyana,UA,49.417,31.9201,47.53,82,99,10.47,overcast clouds
202,Taltal,CL,-25.4,-70.4833,62.08,68,17,4.5,few clouds
203,Kibre Mengist,ET,5.8833,38.9833,59.18,98,99,2.19,light rain
204,Platonovka,RU,52.7106,41.952,44.71,93,99,4.61,overcast clouds
205,Algiers,DZ,36.7525,3.042,64.22,63,0,3.44,clear sky
206,Roald,NO,62.5833,6.1333,44.76,76,100,6.91,overcast clouds
207,Maun,BW,-19.9833,23.4167,66.16,72,0,0.0,clear sky
208,Mogadishu,SO,2.0371,45.3438,76.98,83,7,11.92,clear sky
209,Mozarlandia,BR,-14.7447,-50.5706,89.08,25,24,4.97,few clouds
210,Rio Grande,BR,-32.035,-52.0986,62.71,95,9,6.89,clear sky
211,Zilair,RU,52.2332,57.4392,46.0,80,100,11.79,overcast clouds
212,Salalah,OM,17.0151,54.0924,75.29,69,0,4.61,clear sky
213,Isla Mujeres,MX,21.2311,-86.731,77.16,81,100,15.95,moderate rain
214,Maragogi,BR,-9.0122,-35.2225,75.18,81,48,11.05,scattered clouds
